#name	coverage	shape	h_overflow	overlap	reading_order	dead_target	shape_n	reason	instrument
comix.to	-	-	0	0	0	0	0	bot-wall-403	d3da5acb
www.ikea.com	-	-	0	0	0	0	0	timeout-150s	d3da5acb
meet.google.com	-	-	0	0	0	0	0	timeout-150s	d3da5acb
cibnext.icici.bank.in	-	-	0	0	0	0	0	http-404	d3da5acb
www.repubblica.it	-	-	0	0	0	0	0	timeout-150s	d3da5acb
www.mobile.bg	0.833333	0.414286	0	1	26	0	350		d3da5acb
altogel.fit	-	-	0	0	0	0	0	unreachable	d3da5acb
www.bolde.com	-	-	0	0	0	0	0	bot-wall-403	d3da5acb
www.fragrantica.com	-	-	0	0	0	0	0	timeout-150s	d3da5acb
www.mobile.ir	-	-	0	0	0	0	0	unreachable	d3da5acb
app.ordertime.com	-	-	0	0	0	0	0	css-starved-1	d3da5acb
pogoda.by	-	-	0	0	0	0	0	timeout-150s	d3da5acb
www.monopolybingogame.com	1.000000	0.230769	0	0	0	0	13		d3da5acb
forums.moneysavingexpert.com	-	-	0	0	0	0	0	css-starved-1	d3da5acb
crm.majoo.id	0.679245	0.500000	0	0	0	0	36		d3da5acb
basescan.org	-	-	0	0	0	0	0	bot-wall-403	d3da5acb
dla7h4u1.com	-	-	0	0	0	0	0	bot-wall-200	d3da5acb
www.dapam-sirius.fr	1.000000	0.933333	0	0	0	0	30		d3da5acb
zainascarfs.com	-	-	0	0	0	0	0	bot-wall-403	d3da5acb
redinfor.com.pe	0.950000	0.842105	3	0	0	0	38	render-failed	d3da5acb
admin.zoomph.com	-	-	0	0	0	0	0	unreachable	d3da5acb
dedebet252.com	-	-	0	0	0	0	0	bot-wall-403	d3da5acb
www.wdimax.com	1.000000	0.976127	0	0	0	0	377		d3da5acb
bhfudbal.ba	-	-	0	0	0	0	0	unreachable	d3da5acb
neutypechic.com	-	-	0	0	0	0	0	timeout-150s	d3da5acb
service.smt.docomo.ne.jp	-	-	0	0	0	0	0	unreachable	d3da5acb
bbs.ruliweb.com	-	-	0	0	0	0	0	timeout-150s	d3da5acb
tukrd.com	1.000000	0.973684	0	0	0	0	38		d3da5acb
linkmake.in	1.000000	0.797297	0	0	0	0	74		d3da5acb
www.livescore.cz	0.999425	0.999425	0	0	0	0	3476		d3da5acb
merchant.upi9.pro	-	-	0	0	0	0	0	unreachable	d3da5acb
videa.hu	-	-	0	0	0	0	0	timeout-150s	d3da5acb
funinjeet.com	-	-	0	0	0	0	0	unreachable	d3da5acb
www.woolworths.com.au	-	-	0	0	0	0	0	bot-wall-403	d3da5acb
hope.cap-systems.org	-	-	0	0	0	0	0	timeout-150s	d3da5acb
lms.sltc.ac.lk	-	-	0	0	0	0	0	css-starved-2	d3da5acb
mirai-compass.net	-	-	0	0	0	0	0	http-404	d3da5acb
secure5.entertimeonline.com	-	-	0	0	0	0	0	css-starved-1	d3da5acb
swiftspinus.com	-	-	0	0	0	0	0	unreachable	d3da5acb
promo.golesliga1max.pe	-	-	0	0	0	0	0	unreachable	d3da5acb
booking.directferries.com	-	-	0	0	0	0	0	timeout-150s	d3da5acb
www.kantorsupersam.pl	-	-	0	0	0	0	0	unreachable	d3da5acb
packages.booking.com	-	-	0	0	0	0	0	bot-wall-403	d3da5acb
phone.uslowcosthousing.com	-	-	0	0	0	0	0	bot-wall-403	d3da5acb
ru.restaurantguru.com	-	-	0	0	0	0	0	crashed	d3da5acb
littlecaesarsbcs.libellum.com.mx	1.000000	0.935897	0	0	0	0	78		d3da5acb
