dir	old_pass	new_pass	gained	lost
abspos	1	1	0	0
backgrounds	220	220	0	0
bidi-text	17	58	41	0
borders	349	349	0	0
box-display	60	61	1	0
box	2	2	0	0
cascade-import	0	0	0	0
cascade	19	19	0	0
colors	15	17	2	0
css1	46	88	42	0
css21-errata	4	4	0	0
csswg-issues	0	0	0	0
floats-clear	79	94	15	0
floats	23	23	0	0
fonts	85	111	28	2
generated-content	45	45	0	0
generate	0	0	0	0
i18n	0	0	0	0
linebox	51	117	66	0
lists	37	37	0	0
margin-padding-clear	603	611	8	0
media	13	13	0	0
normal-flow	465	479	16	2
other-formats	0	0	0	0
page-box	0	0	0	0
pagination	39	39	0	0
positioning	314	329	15	0
run-in	0	0	0	0
sec5	22	22	0	0
selectors	436	436	0	0
stacking-context	2	2	0	0
syntax	186	186	0	0
tables	71	74	3	0
text	161	252	91	0
ui	37	42	5	0
values	8	11	3	0
visudet	10	10	0	0
visufx	1	1	0	0
visuren	16	16	0	0
zindex	21	21	0	0
zorder	0	0	0	0
