family	failures
content	76
table-anonymous-objects	57
clip	44
line-height	40
background	40
at-charset	35
min-height	33
margin-collapse	33
absolute-replaced-width	33
floats	25
counter-increment	24
background-root	23
absolute-replaced-height	23
text-indent	21
max-height	21
height	19
letter-spacing	18
top	17
border-top-width	17
border-bottom-width	17
bidi	17
counter-reset	16
content-counter	16
fixed-table-layout	15
abspos-containing-block-initial	15
background-position-applies-to	14
bidi-box-model	13
before-content-display	13
after-content-display	13
absolute-non-replaced-width	13
white-space-processing	12
position-applies-to	12
bottom-applies-to	12
border-color-applies-to	12
border-applies-to	12
background-attachment-applies-to	12
abspos	12
inline-formatting-context	11
inline-block-baseline	11
clear-applies-to	11
caption-side-applies-to	11
margin-collapse-clear	10
background-intrinsic	10
abspos-overflow	10
overflow-applies-to	9
numbers-units	9
max-width	9
inline-replaced-width	9
first-line-pseudo	9
counters	9
vertical-align	8
uri	8
containing-block	8
character-encoding	8
top-applies-to	7
right-applies-to	7
left-applies-to	7
float-nowrap	7
float-applies-to	7
block-formatting-contexts	7
