dir	pass	fail	skip	reftests	pass_pct	ahem_files
csswg-issues	0	3	2	3	0.0	0
zorder	0	1	1	1	0.0	0
visufx	1	47	54	48	2.1	11
abspos	1	16	14	17	5.9	0
box	2	7	2	9	22.2	0
generated-content	45	145	126	190	23.7	0
visudet	10	25	5	35	28.6	0
tables	74	169	897	243	30.5	94
floats	23	50	73	73	31.5	0
values	11	14	3	25	44.0	17
css21-errata	4	5	0	9	44.4	0
lists	37	45	211	82	45.1	1
floats-clear	94	99	56	193	48.7	27
css1	88	76	98	164	53.7	103
bidi-text	58	47	3	105	55.2	54
cascade	19	13	72	32	59.4	3
visuren	16	10	31	26	61.5	0
linebox	117	73	61	190	61.6	163
positioning	329	182	67	511	64.4	63
backgrounds	220	116	290	336	65.5	10
stacking-context	2	1	4	3	66.7	0
syntax	186	89	5	275	67.6	0
borders	349	154	259	503	69.4	54
box-display	61	25	56	86	70.9	4
text	252	102	216	354	71.2	352
normal-flow	479	187	192	666	71.9	108
zindex	21	8	23	29	72.4	1
media	13	4	0	17	76.5	0
ui	42	10	187	52	80.8	16
fonts	111	18	195	129	86.0	192
colors	17	2	3	19	89.5	2
margin-padding-clear	611	66	62	677	90.3	126
pagination	39	4	60	43	90.7	0
selectors	436	29	87	465	93.8	5
sec5	22	1	5	23	95.7	0
