tick	iso	caps	gated	works	partial	missing	unknown	working	ready_pct	gated_pct	measured_pct
190	2026-07-18T00:59:56-04:00	106	27	14	11	17	37	46.5	44	25	65
191	2026-07-18T01:20:14-04:00	106	27	14	11	17	37	46.5	44	25	65
192	2026-07-18T01:50:10-04:00	106	27	14	11	17	37	46.5	44	25	65
193	2026-07-18T02:22:00-04:00	106	27	14	11	17	37	46.5	44	25	65
194	2026-07-18T02:53:07-04:00	122	27	16	16	27	36	51.0	42	22	70
195	2026-07-18T03:22:34-04:00	126	27	16	15	33	35	50.5	40	21	72
196	2026-07-18T03:44:26-04:00	126	27	16	15	33	35	50.5	40	21	72
197	2026-07-18T04:11:59-04:00	126	27	16	15	33	35	50.5	40	21	72
198	2026-07-18T04:34:36-04:00	126	27	16	16	32	35	51.0	40	21	72
199	2026-07-18T04:55:43-04:00	126	27	16	16	32	35	51.0	40	21	72
200	2026-07-18T05:34:52-04:00	126	27	16	16	32	35	51.0	40	21	72
201	2026-07-18T06:11:26-04:00	126	27	16	16	32	35	51.0	40	21	72
202	2026-07-18T06:37:47-04:00	126	27	16	16	32	35	51.0	40	21	72
203	2026-07-18T06:56:37-04:00	126	27	16	16	32	35	51.0	40	21	72
204	2026-07-18T07:10:42-04:00	126	27	16	16	32	35	51.0	40	21	72
205	2026-07-18T07:29:32-04:00	126	27	16	16	32	35	51.0	40	21	72
206	2026-07-18T07:51:38-04:00	126	27	16	16	32	35	51.0	40	21	72
207	2026-07-18T08:09:25-04:00	126	27	16	16	32	35	51.0	40	21	72
208	2026-07-18T08:27:58-04:00	126	27	16	16	32	35	51.0	40	21	72
209	2026-07-18T08:46:17-04:00	126	27	16	16	32	35	51.0	40	21	72
210	2026-07-18T09:06:30-04:00	126	27	16	16	32	35	51.0	40	21	72
211	2026-07-18T09:25:30-04:00	126	27	16	16	32	35	51.0	40	21	72
212	2026-07-18T09:46:42-04:00	126	27	16	16	32	35	51.0	40	21	72
213	2026-07-18T10:26:03-04:00	126	27	16	16	32	35	51.0	40	21	72
214	2026-07-18T10:47:39-04:00	126	28	20	14	29	35	55.0	44	22	72
215	2026-07-18T11:10:00-04:00	126	28	20	14	29	35	55.0	44	22	72
216	2026-07-18T11:38:45-04:00	126	28	20	14	29	35	55.0	44	22	72
217	2026-07-18T11:45:10-04:00	126	28	20	14	29	35	55.0	44	22	72
218	2026-07-18T12:19:43-04:00	126	28	20	14	29	35	55.0	44	22	72
219	2026-07-18T13:27:36-04:00	126	28	20	14	29	35	55.0	44	22	72
220	2026-07-18T14:16:37-04:00	126	28	20	14	29	35	55.0	44	22	72
221	2026-07-18T15:31:02-04:00	126	28	20	14	29	35	55.0	44	22	72
222	2026-07-18T16:38:51-04:00	126	28	20	14	29	35	55.0	44	22	72
223	2026-07-18T17:53:46-04:00	128	28	20	14	31	35	55.0	43	22	73
224	2026-07-18T18:35:35-04:00	128	28	20	14	31	35	55.0	43	22	73
225	2026-07-18T18:42:34-04:00	128	36	20	14	40	18	63.0	49	28	86
226	2026-07-18T18:51:46-04:00	128	37	20	14	40	17	64.0	50	29	87
227	2026-07-18T18:58:28-04:00	128	37	20	15	40	16	64.5	50	29	88
228	2026-07-18T19:27:46-04:00	128	38	20	14	40	16	65.0	51	30	88
229	2026-07-18T19:52:19-04:00	128	39	20	14	40	15	66.0	52	30	88
230	2026-07-18T19:57:40-04:00	128	39	20	14	47	8	66.0	52	30	94
231	2026-07-18T20:50:08-04:00	128	40	20	13	47	8	66.5	52	31	94
232	2026-07-18T21:47:36-04:00	128	40	20	13	47	8	66.5	52	31	94
233	2026-07-18T22:28:21-04:00	128	40	20	13	47	8	66.5	52	31	94
234	2026-07-18T23:35:35-04:00	128	41	20	13	46	8	67.5	53	32	94
235	2026-07-19T06:22:28-04:00	129	43	20	14	46	6	70.0	54	33	95
239	2026-07-19T06:50:24-04:00	129	43	20	15	45	6	70.5	55	33	95
240	2026-07-19T07:23:06-04:00	129	43	20	15	45	6	70.5	55	33	95
241	2026-07-19T07:28:00-04:00	129	43	20	17	47	2	71.5	55	33	98
242	2026-07-19T08:05:08-04:00	129	44	20	16	47	2	72.0	56	34	98
243	2026-07-19T11:27:48-04:00	129	44	20	16	47	2	72.0	56	34	98
244	2026-07-19T11:47:39-04:00	129	46	20	16	45	2	74.0	57	36	98
245	2026-07-19T12:16:27-04:00	129	46	20	17	44	2	74.5	58	36	98
246	2026-07-19T12:36:59-04:00	129	46	20	17	44	2	74.5	58	36	98
247	2026-07-19T13:16:55-04:00	129	46	20	17	44	2	74.5	58	36	98
248	2026-07-19T14:09:32-04:00	129	46	20	17	44	2	74.5	58	36	98
249	2026-07-19T14:25:18-04:00	129	46	20	17	44	2	74.5	58	36	98
250	2026-07-19T14:50:59-04:00	129	46	20	17	44	2	74.5	58	36	98
251	2026-07-19T15:47:52-04:00	129	46	20	17	44	2	74.5	58	36	98
252	2026-07-19T16:24:56-04:00	129	46	20	17	44	2	74.5	58	36	98
253	2026-07-19T17:02:34-04:00	129	46	20	17	44	2	74.5	58	36	98
254	2026-07-19T17:43:27-04:00	129	46	20	17	44	2	74.5	58	36	98
255	2026-07-19T18:06:09-04:00	129	46	20	17	44	2	74.5	58	36	98
256	2026-07-19T18:33:02-04:00	129	46	20	17	44	2	74.5	58	36	98
257	2026-07-19T18:56:03-04:00	129	46	20	17	44	2	74.5	58	36	98
258	2026-07-19T19:05:06-04:00	129	49	20	21	37	2	79.5	62	38	98
259	2026-07-19T19:34:38-04:00	129	49	20	21	37	2	79.5	62	38	98
260	2026-07-19T20:05:28-04:00	129	49	20	21	37	2	79.5	62	38	98
261	2026-07-19T20:44:23-04:00	129	49	20	21	37	2	79.5	62	38	98
262	2026-07-19T21:44:35-04:00	129	49	20	21	37	2	79.5	62	38	98
263	2026-07-19T22:28:14-04:00	129	49	20	21	37	2	79.5	62	38	98
264	2026-07-19T23:38:00-04:00	129	49	20	21	37	2	79.5	62	38	98
265	2026-07-20T00:55:37-04:00	129	49	20	21	37	2	79.5	62	38	98
266	2026-07-20T02:21:03-04:00	129	50	20	21	36	2	80.5	62	39	98
267	2026-07-20T03:10:43-04:00	129	50	20	21	36	2	80.5	62	39	98
268	2026-07-20T04:12:35-04:00	129	50	20	21	36	2	80.5	62	39	98
269	2026-07-20T04:56:17-04:00	129	50	20	21	36	2	80.5	62	39	98
270	2026-07-20T05:56:51-04:00	129	50	20	21	36	2	80.5	62	39	98
271	2026-07-20T07:09:47-04:00	129	50	20	21	36	2	80.5	62	39	98
272	2026-07-20T08:14:21-04:00	129	50	20	21	36	2	80.5	62	39	98
274	2026-07-20T10:08:56-04:00	129	50	20	21	36	2	80.5	62	39	98
275	2026-07-20T10:49:11-04:00	129	50	20	21	36	2	80.5	62	39	98
276	2026-07-20T11:30:25-04:00	129	50	20	21	36	2	80.5	62	39	98
277	2026-07-20T11:46:14-04:00	129	50	20	21	36	2	80.5	62	39	98
278	2026-07-20T12:33:52-04:00	129	50	20	21	36	2	80.5	62	39	98
279	2026-07-20T13:02:48-04:00	130	52	20	21	35	2	82.5	63	40	98
280	2026-07-20T13:57:19-04:00	131	53	20	21	35	2	83.5	64	40	98
281	2026-07-20T14:32:10-04:00	131	54	20	21	34	2	84.5	65	41	98
282	2026-07-20T15:22:20-04:00	131	54	20	21	34	2	84.5	65	41	98
286	2026-07-20T18:39:03-04:00	131	54	21	20	34	2	85.0	65	41	98
287	2026-07-20T19:15:26-04:00	131	54	21	21	33	2	85.5	65	41	98
288	2026-07-20T20:01:32-04:00	131	54	21	22	32	2	86.0	66	41	98
289	2026-07-20T21:02:43-04:00	131	54	21	22	32	2	86.0	66	41	98
290	2026-07-20T21:34:06-04:00	131	54	21	22	32	2	86.0	66	41	98
291	2026-07-20T22:15:29-04:00	131	54	21	22	32	2	86.0	66	41	98
292	2026-07-20T22:46:32-04:00	131	54	21	22	32	2	86.0	66	41	98
293	2026-07-20T23:14:51-04:00	131	54	21	22	32	2	86.0	66	41	98
294	2026-07-20T23:45:38-04:00	131	54	21	22	32	2	86.0	66	41	98
295	2026-07-21T00:13:56-04:00	131	54	21	22	32	2	86.0	66	41	98
296	2026-07-21T00:42:12-04:00	131	54	21	22	32	2	86.0	66	41	98
297	2026-07-21T01:12:37-04:00	131	54	21	22	32	2	86.0	66	41	98
298	2026-07-21T01:43:43-04:00	131	54	21	22	32	2	86.0	66	41	98
299	2026-07-21T02:12:56-04:00	131	54	21	22	32	2	86.0	66	41	98
300	2026-07-21T02:41:17-04:00	131	54	21	22	32	2	86.0	66	41	98
301	2026-07-21T03:10:14-04:00	131	54	21	22	32	2	86.0	66	41	98
302	2026-07-21T03:55:15-04:00	131	54	21	22	32	2	86.0	66	41	98
303	2026-07-21T04:35:11-04:00	131	54	21	22	32	2	86.0	66	41	98
304	2026-07-21T05:06:10-04:00	131	54	21	22	32	2	86.0	66	41	98
305	2026-07-21T05:39:27-04:00	131	54	21	22	32	2	86.0	66	41	98
306	2026-07-21T06:12:42-04:00	131	54	21	22	32	2	86.0	66	41	98
307	2026-07-21T06:44:10-04:00	131	54	21	22	32	2	86.0	66	41	98
308	2026-07-21T07:14:37-04:00	131	55	21	22	31	2	87.0	66	42	98
309	2026-07-21T07:43:04-04:00	131	56	21	22	30	2	88.0	67	43	98
310	2026-07-21T08:54:05-04:00	132	57	21	22	30	2	89.0	67	43	98
311	2026-07-21T09:19:11-04:00	133	58	21	22	30	2	90.0	68	44	98
312	2026-07-21T09:39:20-04:00	134	59	21	22	30	2	91.0	68	44	99
313	2026-07-21T09:58:18-04:00	135	60	21	22	30	2	92.0	68	44	99
314	2026-07-21T10:21:35-04:00	136	61	21	22	30	2	93.0	68	45	99
315	2026-07-21T10:44:12-04:00	137	62	21	22	30	2	94.0	69	45	99
316	2026-07-21T11:06:23-04:00	138	63	21	22	30	2	95.0	69	46	99
317	2026-07-21T11:27:42-04:00	139	64	21	22	30	2	96.0	69	46	99
318	2026-07-21T11:52:04-04:00	140	65	21	22	30	2	97.0	69	46	99
319	2026-07-21T12:12:41-04:00	141	66	21	22	30	2	98.0	70	47	99
320	2026-07-21T12:34:23-04:00	142	67	21	22	30	2	99.0	70	47	99
321	2026-07-21T12:59:53-04:00	143	68	21	22	30	2	100.0	70	48	99
322	2026-07-21T13:28:54-04:00	144	69	21	22	30	2	101.0	70	48	99
323	2026-07-21T13:48:39-04:00	145	70	21	22	30	2	102.0	70	48	99
324	2026-07-21T14:08:58-04:00	146	71	21	22	30	2	103.0	71	49	99
332	2026-07-21T20:59:32-04:00	148	83	21	15	27	2	111.5	75	56	99
333	2026-07-21T21:38:30-04:00	148	83	21	15	27	2	111.5	75	56	99
334	2026-07-21T21:41:18-04:00	148	83	21	15	27	2	111.5	75	56	99
335	2026-07-21T22:08:06-04:00	148	83	21	15	27	2	111.5	75	56	99
336	2026-07-21T22:12:33-04:00	148	83	21	15	27	2	111.5	75	56	99
337	2026-07-21T22:17:46-04:00	149	84	21	15	27	2	112.5	76	56	99
338	2026-07-21T22:28:05-04:00	149	84	21	15	27	2	112.5	76	56	99
339	2026-07-21T22:37:34-04:00	149	84	21	15	27	2	112.5	76	56	99
340	2026-07-21T22:57:21-04:00	149	84	21	15	27	2	112.5	76	56	99
341	2026-07-21T23:09:07-04:00	149	84	21	15	27	2	112.5	76	56	99
342	2026-07-21T23:21:06-04:00	149	84	21	15	27	2	112.5	76	56	99
344	2026-07-22T00:05:13-04:00	149	84	21	16	26	2	113.0	76	56	99
345	2026-07-22T00:47:00-04:00	149	85	21	15	26	2	113.5	76	57	99
346	2026-07-22T01:16:49-04:00	149	86	21	14	26	2	114.0	77	58	99
347	2026-07-22T01:42:23-04:00	150	86	21	14	26	3	114.0	76	57	98
348	2026-07-22T02:08:04-04:00	150	86	21	14	26	3	114.0	76	57	98
349	2026-07-22T02:51:33-04:00	150	87	21	13	26	3	114.5	76	58	98
349	2026-07-22T02:52:55-04:00	150	87	21	13	26	3	114.5	76	58	98
350	2026-07-22T03:17:51-04:00	150	88	21	13	25	3	115.5	77	59	98
352	2026-07-22T03:40:14-04:00	150	88	21	13	25	3	115.5	77	59	98
353	2026-07-22T04:05:32-04:00	150	88	21	13	25	3	115.5	77	59	98
354	2026-07-22T04:31:05-04:00	150	88	21	13	25	3	115.5	77	59	98
355	2026-07-22T04:52:01-04:00	150	89	21	13	24	3	116.5	78	59	98
356	2026-07-22T04:55:32-04:00	150	89	21	13	24	3	116.5	78	59	98
357	2026-07-22T04:59:29-04:00	152	89	21	13	25	4	116.5	77	59	97
358	2026-07-22T05:02:41-04:00	152	89	21	13	25	4	116.5	77	59	97
