invariant	mark	banked_at
WPT:dom	2495	2026-07-15T09:07:11-04:00
WPT:html/dom	22561	2026-07-15T09:07:11-04:00
WPT:css/selectors	667	2026-07-15T09:07:11-04:00
WPT:css/css-flexbox	220	2026-07-15T09:07:11-04:00
WPT:css/css-grid	150	2026-07-15T09:07:11-04:00
WPT:css/css-sizing	191	2026-07-15T09:07:11-04:00
WPT:css/css-fonts	924	2026-07-15T09:07:11-04:00
WPT:css/css-text	584	2026-07-15T09:07:11-04:00
WPT:css/css-overflow	130	2026-07-15T09:07:11-04:00
WPT:css/css-transforms	20	2026-07-15T09:07:11-04:00
WPT:css/css-ui	20	2026-07-15T09:07:11-04:00
WPT:css/css-backgrounds	3	2026-07-15T09:07:11-04:00
WPT:cssom	0	2026-07-15T09:07:11-04:00
WPT:domparsing	149	2026-07-15T09:07:11-04:00
WPT:url	1	2026-07-15T09:07:11-04:00
WPT:encoding	360559	2026-07-15T09:07:11-04:00
WPT:TOTAL	388674	2026-07-15T09:07:11-04:00
CLAIMS	81	2026-07-15T09:07:11-04:00
GATES	35	2026-07-15T09:07:11-04:00
CONST:doc	6	2026-07-15T09:07:11-04:00
CONST:app	10	2026-07-15T09:07:11-04:00
CONST:platform	3	2026-07-15T09:07:11-04:00
CONST:media	0	2026-07-15T09:07:11-04:00
CONST:cross	7	2026-07-15T09:07:11-04:00
MEASURED	68	2026-07-15T09:07:11-04:00
WALL	53	2026-07-15T09:07:11-04:00
