#sites	hits	cause
28	389	geometry/mis-sized: height ~16px   (<div>)
24	3689	missing box: <div>
23	298	geometry/mis-sized: height ~32px   (<div>)
22	440	geometry/mis-sized: height ~128px   (<div>)
21	311	geometry/mis-sized: height ~64px   (<div>)
20	268	geometry/mis-sized: height ~256px   (<div>)
20	170	geometry/mis-sized: height ~8px   (<div>)
18	1703	missing box: <a>
15	1127	unaligned key (we drew as many): <div>
15	1127	missing box: <span>
15	950	geometry/mis-sized: width ~512px   (<div>)
15	451	display: block → flex   (<div>)
14	49	geometry/displaced: y (vertical drift) ~16px   (<div>)
13	518	geometry/mis-sized: width ~1024px   (<div>)
13	301	missing box: <path>
12	187	geometry/displaced: y (vertical drift) ~32px   (<div>)
12	120	geometry/mis-sized: height ~512px   (<div>)
11	1092	missing box: <img>
11	737	missing box: <li>
11	355	geometry/mis-sized: width ~8px   (<div>)
11	195	geometry/mis-sized: width ~16px   (<div>)
11	170	geometry/mis-sized: height ~16px   (<a>)
11	73	geometry/mis-sized: width ~16px   (<a>)
10	349	unaligned key (we drew as many): <span>
10	289	geometry/mis-sized: width ~8px   (<a>)
10	284	geometry/mis-sized: width ~32px   (<div>)
10	128	geometry/displaced: y (vertical drift) ~128px   (<div>)
10	86	geometry/displaced: y (vertical drift) ~8px   (<div>)
9	218	geometry/mis-sized: width ~8px   (<span>)
9	129	geometry/mis-sized: y (vertical drift) ~128px   (<div>)
9	113	geometry/displaced: y (vertical drift) ~64px   (<div>)
8	1872	display: inline → block   (<a>)
8	191	display: inline → block   (<span>)
8	71	geometry/mis-sized: height ~128px   (<img>)
7	1603	geometry/mis-sized: width ~512px   (<li>)
7	264	missing box: <p>
7	147	geometry/mis-sized: width ~64px   (<div>)
7	121	display: inline → block   (<img>)
7	118	geometry/mis-sized: width ~256px   (<div>)
7	114	geometry/mis-sized: width ~16px   (<span>)
7	80	geometry/mis-sized: width ~64px   (<a>)
7	69	geometry/mis-sized: width ~32px   (<a>)
6	308	unaligned key (we drew as many): <a>
6	258	geometry/mis-sized: width ~128px   (<div>)
6	216	display: inline → flex   (<span>)
6	180	geometry/mis-sized: width ~512px   (<p>)
6	142	display: inline → block   (<svg>)
6	86	unaligned key (we drew as many): <path>
6	42	missing box: <button>
6	36	geometry/mis-sized: height ~1024px   (<div>)
5	150	geometry/mis-sized: y (vertical drift) ~256px   (<div>)
5	148	geometry/mis-sized: y (vertical drift) ~512px   (<li>)
5	100	geometry/displaced: x (horizontal) ~8px   (<a>)
5	32	geometry/mis-sized: height ~16px   (<span>)
5	23	geometry/displaced: x (horizontal) ~128px   (<a>)
5	17	unaligned key (we drew as many): <button>
5	5	geometry/mis-sized: height ~512px   (<body>)
4	776	missing box: <source>
4	368	missing box: <picture>
4	118	unaligned key (we drew as many): <img>
4	91	missing box: <h3>
4	89	geometry/displaced: y (vertical drift) ~256px   (<div>)
4	78	geometry/mis-sized: height ~128px   (<a>)
4	63	geometry/mis-sized: width ~32px   (<span>)
4	62	missing box: <ul>
4	53	missing box: <svg>
4	52	geometry/displaced: x (horizontal) ~16px   (<span>)
4	51	geometry/mis-sized: x (horizontal) ~128px   (<a>)
4	50	geometry/mis-sized: height ~16px   (<img>)
4	47	geometry/mis-sized: height ~32px   (<a>)
4	45	geometry/mis-sized: height ~8px   (<a>)
4	41	geometry/displaced: y (vertical drift) ~16px   (<a>)
4	39	geometry/mis-sized: y (vertical drift) ~32px   (<div>)
4	29	geometry/mis-sized: y (vertical drift) ~16px   (<div>)
4	21	geometry/mis-sized: height ~16px   (<li>)
4	13	missing box: <input>
4	9	geometry/mis-sized: height ~16px   (<section>)
3	148	missing box: <i>
3	81	geometry/displaced: x (horizontal) ~16px   (<br>)
3	62	geometry/mis-sized: width ~64px   (<span>)
3	54	geometry/displaced: x (horizontal) ~32px   (<span>)
3	46	unaligned key (we drew as many): <h3>
3	45	geometry/mis-sized: width ~256px   (<a>)
3	41	geometry/mis-sized: x (horizontal) ~256px   (<a>)
3	34	geometry/mis-sized: x (horizontal) ~512px   (<div>)
3	34	geometry/displaced: y (vertical drift) ~8px   (<p>)
3	30	geometry/mis-sized: width ~128px   (<a>)
3	26	geometry/displaced: x (horizontal) ~128px   (<span>)
3	24	unaligned key (we drew as many): <li>
3	24	geometry/mis-sized: x (horizontal) ~16px   (<a>)
3	23	missing box: <section>
3	23	geometry/mis-sized: width ~32px   (<li>)
3	22	geometry/mis-sized: height ~64px   (<img>)
3	22	geometry/displaced: y (vertical drift) ~16px   (<p>)
3	21	geometry/mis-sized: width ~64px   (<img>)
3	20	unaligned key (we drew as many): <svg>
3	19	geometry/displaced: y (vertical drift) ~8px   (<span>)
3	16	geometry/mis-sized: width ~128px   (<p>)
3	15	geometry/displaced: y (vertical drift) ~2048px   (<div>)
3	11	geometry/displaced: y (vertical drift) ~512px   (<div>)
3	11	geometry/displaced: x (horizontal) ~16px   (<div>)
3	10	geometry/mis-sized: y (vertical drift) ~8px   (<div>)
3	8	geometry/mis-sized: height ~2048px   (<div>)
3	5	geometry/displaced: y (vertical drift) ~128px   (<section>)
3	3	geometry/mis-sized: height ~8px   (<body>)
3	3	geometry/mis-sized: height ~32px   (<body>)
2	202	missing box: <strong>
2	176	geometry/mis-sized: y (vertical drift) ~512px   (<div>)
2	136	geometry/mis-sized: width ~128px   (<img>)
2	104	geometry/mis-sized: width ~128px   (<span>)
2	100	geometry/displaced: y (vertical drift) ~32px   (<img>)
2	95	geometry/mis-sized: x (horizontal) ~4096px   (<a>)
2	81	missing box: <figure>
2	70	missing box: <figcaption>
2	70	geometry/mis-sized: y (vertical drift) ~32px   (<span>)
2	62	geometry/mis-sized: x (horizontal) ~2048px   (<a>)
2	52	geometry/mis-sized: height ~256px   (<article>)
2	49	geometry/mis-sized: width ~512px   (<a>)
2	47	geometry/displaced: y (vertical drift) ~128px   (<img>)
2	42	geometry/mis-sized: width ~32px   (<img>)
2	38	geometry/mis-sized: height ~32px   (<img>)
2	37	geometry/mis-sized: x (horizontal) ~512px   (<a>)
2	37	geometry/displaced: x (horizontal) ~128px   (<div>)
2	36	geometry/displaced: y (vertical drift) ~32px   (<span>)
2	36	geometry/displaced: y (vertical drift) ~256px   (<a>)
2	35	geometry/mis-sized: y (vertical drift) ~128px   (<a>)
2	33	geometry/mis-sized: y (vertical drift) ~64px   (<div>)
2	33	geometry/mis-sized: x (horizontal) ~8px   (<div>)
2	29	geometry/mis-sized: height ~64px   (<a>)
2	27	geometry/mis-sized: x (horizontal) ~64px   (<div>)
2	27	geometry/mis-sized: width ~256px   (<h3>)
2	27	geometry/mis-sized: height ~256px   (<form>)
2	26	geometry/mis-sized: y (vertical drift) ~32px   (<tr>)
2	26	geometry/mis-sized: width ~32px   (<h3>)
2	22	missing box: <br>
2	22	geometry/mis-sized: width ~128px   (<td>)
2	19	geometry/mis-sized: x (horizontal) ~32px   (<a>)
2	18	missing box: <rect>
2	18	geometry/displaced: y (vertical drift) ~16px   (<section>)
2	17	geometry/displaced: x (horizontal) ~64px   (<span>)
2	17	geometry/displaced: x (horizontal) ~256px   (<a>)
2	15	geometry/mis-sized: y (vertical drift) ~8px   (<a>)
2	14	geometry/displaced: y (vertical drift) ~8px   (<h4>)
2	14	geometry/displaced: x (horizontal) ~8px   (<span>)
2	13	unaligned key (we drew as many): <br>
2	13	geometry/displaced: y (vertical drift) ~16px   (<li>)
2	13	geometry/displaced: x (horizontal) ~64px   (<a>)
2	12	geometry/displaced: x (horizontal) ~512px   (<a>)
2	11	geometry/mis-sized: height ~16px   (<ul>)
2	11	geometry/displaced: x (horizontal) ~32px   (<br>)
2	10	geometry/mis-sized: height ~8px   (<li>)
2	10	display: flex → block   (<div>)
2	9	unaligned key (we drew as many): <i>
2	9	geometry/mis-sized: width ~64px   (<li>)
2	9	geometry/mis-sized: height ~4096px   (<div>)
2	9	geometry/displaced: x (horizontal) ~512px   (<div>)
2	9	geometry/displaced: x (horizontal) ~32px   (<a>)
2	8	geometry/mis-sized: x (horizontal) ~32px   (<li>)
2	8	geometry/mis-sized: x (horizontal) ~16px   (<li>)
2	8	geometry/mis-sized: width ~64px   (<ul>)
2	6	unaligned key (we drew as many): <input>
2	6	unaligned key (we drew as many): <h2>
2	6	geometry/displaced: y (vertical drift) ~8px   (<br>)
2	6	geometry/displaced: y (vertical drift) ~8px   (<a>)
2	6	geometry/displaced: y (vertical drift) ~256px   (<br>)
2	5	geometry/displaced: y (vertical drift) ~16px   (<h3>)
2	5	geometry/displaced: x (horizontal) ~16px   (<li>)
2	4	geometry/displaced: y (vertical drift) ~1024px   (<div>)
2	3	geometry/mis-sized: height ~16px   (<article>)
2	3	geometry/displaced: x (horizontal) ~32px   (<div>)
2	3	display: inline-block → block   (<input>)
2	2	geometry/mis-sized: height ~4096px   (<body>)
2	2	geometry/mis-sized: height ~128px   (<section>)
2	2	geometry/mis-sized: height ~128px   (<body>)
2	2	geometry/mis-sized: height ~1024px   (<body>)
2	2	geometry/displaced: y (vertical drift) ~128px   (<footer>)
2	2	geometry/displaced: x (horizontal) ~256px   (<div>)
2	2	display: block → flex   (<body>)
1	232	geometry/mis-sized: y (vertical drift) ~1024px   (<div>)
1	214	geometry/displaced: y (vertical drift) ~8px   (<source>)
1	175	geometry/mis-sized: height ~16px   (<td>)
1	113	geometry/mis-sized: y (vertical drift) ~1024px   (<li>)
1	113	geometry/mis-sized: width ~512px   (<md-select-option>)
1	110	display: inline → block   (<picture>)
1	103	geometry/displaced: y (vertical drift) ~16px   (<img>)
1	97	geometry/mis-sized: y (vertical drift) ~16px   (<picture>)
1	81	display: block → grid   (<div>)
1	80	geometry/mis-sized: y (vertical drift) ~2048px   (<li>)
1	68	geometry/mis-sized: y (vertical drift) ~512px   (<md-select-option>)
1	56	geometry/mis-sized: height ~128px   (<article>)
1	52	geometry/mis-sized: x (horizontal) ~8192px   (<a>)
1	51	geometry/mis-sized: x (horizontal) ~16384px   (<a>)
1	48	geometry/mis-sized: width ~512px   (<h2>)
1	48	display: -webkit-box → block   (<span>)
1	42	geometry/mis-sized: height ~64px   (<article>)
1	40	geometry/mis-sized: y (vertical drift) ~65536px   (<skeleton-loader>)
1	36	geometry/displaced: x (horizontal) ~8192px   (<a>)
1	32	geometry/mis-sized: width ~8px   (<img>)
1	32	geometry/mis-sized: height ~256px   (<a>)
1	31	geometry/mis-sized: x (horizontal) ~8px   (<span>)
