#name	coverage	shape	h_overflow	overlap	reading_order	dead_target	shape_n	reason	instrument
255md.com	1.000000	0.883721	0	0	0	0	43		d3da5acb
allticketscol.com	0.912500	0.726027	0	1	0	0	73		d3da5acb
chat.google.com	1.000000	0.881356	0	0	0	0	59		d3da5acb
dashboard.twitch.tv	0.371069	0.728814	0	0	1	0	59		d3da5acb
gismart.com	0.982517	0.790036	3	0	0	0	281		d3da5acb
ioi-russia.vdi.mipt.ru	1.000000	0.878049	0	0	0	0	41		d3da5acb
mayatoys.in	0.863014	0.873016	0	0	0	0	945		d3da5acb
momon-ga.com	1.000000	0.951049	0	0	0	0	572		d3da5acb
nysainfo.pl	0.446829	0.740662	0	0	1	0	937		d3da5acb
pivaldi.restoplace.ws	0.974537	0.786223	0	1	1	0	421		d3da5acb
probidas.lt	-	-	0	0	0	0	0	unreachable	d3da5acb
rockstaractu.com	0.922353	0.909439	0	0	2	0	784		d3da5acb
serennu.com	1.000000	0.786885	0	0	0	0	61		d3da5acb
tracker.shadowfax.in	0.055556	0.000000	0	0	0	0	1	tree-divergence-48	d3da5acb
www.aftenbladet.no	0.945642	0.390486	494	0	12	0	1009		d3da5acb
www.crazyshop.pl	0.979883	0.784106	0	0	108	0	1510		d3da5acb
www.friulioggi.it	0.956769	0.483948	1	2	3	0	841		d3da5acb
a1.ro	0.019185	0.562500	0	0	2	0	16		d3da5acb
beb88run.xyz	0.680321	0.937827	0	13	10	0	1528		d3da5acb
crm.majoo.id	0.886792	0.595745	0	0	0	0	47		d3da5acb
esaj.tjsp.jus.br	0.003922	1.000000	0	0	0	0	1	thin-overlap-1	d3da5acb
hope.cap-systems.org	1.000000	0.000000	0	0	0	0	17		d3da5acb
littlecaesarsbcs.libellum.com.mx	1.000000	0.974359	0	0	0	0	78		d3da5acb
meuconsultordigital.com.br	0.975258	0.422833	0	9	1	0	473		d3da5acb
m.youm7.com	0.983412	0.859438	0	67	11	0	1245		d3da5acb
pasarbokep.com	0.996047	0.718254	0	0	0	0	252		d3da5acb
portagelearning.edu	0.094340	0.333333	0	1	0	0	15		d3da5acb
pt88.app	0.650246	0.454545	0	3	11	0	132	render-failed	d3da5acb
ru.restaurantguru.com	1.000000	0.729730	0	6	0	0	629		d3da5acb
sip777man.site	0.493300	0.969440	1	4	9	0	1178		d3da5acb
vk.com	0.037736	0.250000	0	0	0	0	4	thin-overlap-4	d3da5acb
www.bilibili.com	0.657503	0.768293	2	1	1	0	574		d3da5acb
www.datacareservices.com	0.024074	0.230769	0	1	1	0	13		d3da5acb
www.jatekshop.eu	0.978921	0.950904	0	0	0	0	1161		d3da5acb
