#name	coverage	shape	h_overflow	overlap	reading_order	dead_target	shape_n	reason	instrument
comix.to	1.000000	1.000000	0	0	0	0	3	shell-only-3	46cdbdef
www.naukri.com	0.280702	0.312500	0	1	1	0	16		46cdbdef
www.ebay.com	-	-	0	0	0	0	0	timeout-150s	46cdbdef
fdown.net	-	-	0	0	0	0	0	bot-wall-403	46cdbdef
www.ikea.com	0.935806	0.525915	0	6	22	0	656		46cdbdef
www.otomoto.pl	0.003697	0.000000	0	0	0	0	4	render-failed	46cdbdef
aternos.org	-	-	0	0	0	0	0	bot-wall-403	46cdbdef
www.bilibili.com	0.471053	0.555866	0	4	43	9	358		46cdbdef
meet.google.com	0.486950	0.125062	135	14	41	0	2015		46cdbdef
www.amazon.com.be	-	-	0	0	0	0	0	empty-202	46cdbdef
client.dkitrxmdwoqruvsi.net	-	-	0	0	0	0	0	http-404	46cdbdef
people.com	-	-	0	0	0	0	0	bot-wall-403	46cdbdef
cibnext.icici.bank.in	-	-	0	0	0	0	0	http-404	46cdbdef
255md.com	1.000000	0.697674	0	0	0	0	43		46cdbdef
www.marktplaats.nl	1.000000	0.708642	0	0	1	2	810		46cdbdef
awlyaa.education.dz	1.000000	0.833333	0	0	0	0	6	shell-only-6	46cdbdef
www.repubblica.it	0.994671	0.390000	0	32	47	0	2800		46cdbdef
mobcup.fm	0.911765	0.870968	0	0	0	0	31		46cdbdef
momon-ga.com	1.000000	0.564685	0	0	0	0	572		46cdbdef
esaj.tjsp.jus.br	1.000000	0.500000	0	0	0	0	4	shell-only-4	46cdbdef
www.mobile.bg	0.997701	0.345622	0	11	26	1	434		46cdbdef
tracker.shadowfax.in	0.034483	0.000000	0	0	0	0	1	tree-divergence-48	46cdbdef
www.kicktipp.com	0.987654	0.725000	0	0	1	0	80		46cdbdef
alastonsuomi.com	-	-	0	0	0	0	0	unreachable	46cdbdef
altogel.fit	-	-	0	0	0	0	0	unreachable	46cdbdef
www.tz.de	0.952802	0.831785	3	5	4	0	1938		46cdbdef
sports.yahoo.com	0.272727	0.000000	0	0	0	0	3	tree-divergence-1843	46cdbdef
gw.geneanet.org	-	-	0	0	0	0	0	bot-wall-403	46cdbdef
www.bolde.com	-	-	0	0	0	0	0	bot-wall-403	46cdbdef
dashboard.twitch.tv	0.818182	0.888889	0	0	0	0	9	thin-overlap-9	46cdbdef
mkp.gem.gov.in	-	-	0	0	0	0	0	unreachable	46cdbdef
celeb.gate.cc	0.983437	0.225263	0	0	2	0	475		46cdbdef
www.fragrantica.com	1.000000	0.414247	3	119	1	0	2962		46cdbdef
www.blick.ch	-	-	0	0	0	0	0	bot-wall-403	46cdbdef
www.hemnet.se	-	-	0	0	0	0	0	bot-wall-403	46cdbdef
fr.bongacams.com	-	-	0	0	0	0	0	bot-wall-403	46cdbdef
www.mobile.ir	0.999157	0.518987	1	3	75	1	1185		46cdbdef
www.alphanews.live	0.989449	0.173820	278	23	19	0	3751		46cdbdef
patrickmorin.com	0.977612	0.564885	0	1	6	0	131		46cdbdef
www.nautica.com	-	-	0	0	0	0	0	bot-wall-403	46cdbdef
app.ordertime.com	-	-	0	0	0	0	0	unreachable	46cdbdef
mexcbt.ed-cl.com	0.925926	0.000000	0	2	1	0	25		46cdbdef
ticket.jfa.jp	0.985075	0.632576	13	3	1	0	1056		46cdbdef
house.udn.com	1.000000	0.000000	0	0	0	0	1	shell-only-1	46cdbdef
pogoda.by	0.008772	1.000000	0	0	0	0	1	render-failed	46cdbdef
d2rwkn96gppqo1.cloudfront.net	0.777778	0.428571	0	0	0	0	7	shell-only-9	46cdbdef
www.trivago.de	0.953901	0.119703	27	4	13	0	1345		46cdbdef
www.trivago.jp	0.935780	0.115385	27	4	13	0	1326		46cdbdef
www.monopolybingogame.com	0.535714	0.266667	0	0	0	0	15		46cdbdef
www.mundotoro.com	-	-	0	0	0	0	0	bot-wall-403	46cdbdef
www.puentedemando.com	0.983449	0.689991	6	21	14	1	1129		46cdbdef
donate.onenation.org.au	-	-	0	0	0	0	0	bot-wall-403	46cdbdef
forums.moneysavingexpert.com	1.000000	0.222222	0	0	0	0	9	shell-only-9	46cdbdef
v8m5e6.com	-	-	0	0	0	0	0	bot-wall-200	46cdbdef
aims.ucc-caloocan.edu.ph	-	-	0	0	0	0	0	unreachable	46cdbdef
sparkivo.pro	-	-	0	0	0	0	0	unreachable	46cdbdef
crm.majoo.id	0.566038	0.466667	0	1	0	0	30		46cdbdef
www.smecel.com.br	1.000000	0.209302	0	3	0	0	43		46cdbdef
lms12.tvu.ac.ir	-	-	0	0	0	0	0	unreachable	46cdbdef
serennu.com	1.000000	0.311475	0	9	7	0	61		46cdbdef
basescan.org	-	-	0	0	0	0	0	bot-wall-403	46cdbdef
app.levelupxx69.online	-	-	0	0	0	0	0	bot-wall-403	46cdbdef
www.unoeste.br	0.591209	0.631970	0	4	3	1	269		46cdbdef
lp.rsaiben.com	-	-	0	0	0	0	0	http-404	46cdbdef
dla7h4u1.com	-	-	0	0	0	0	0	bot-wall-200	46cdbdef
www.villaggioposeidone.it	0.004237	0.000000	0	0	0	0	2	tree-divergence-397	46cdbdef
admin.munchbakery.com	1.000000	0.931818	0	0	2	0	44		46cdbdef
creaturecock.com	-	-	0	0	0	0	0	unreachable	46cdbdef
www.dapam-sirius.fr	1.000000	0.433333	0	0	0	0	30		46cdbdef
pivaldi.restoplace.ws	0.938303	0.641096	0	1	3	0	365		46cdbdef
ebanking.bdm-sa.com	-	-	0	0	0	0	0	unreachable	46cdbdef
beb88run.xyz	0.564608	0.557021	0	16	3	0	1289		46cdbdef
zainascarfs.com	-	-	0	0	0	0	0	bot-wall-403	46cdbdef
www.cuneocronaca.it	-	-	0	0	0	0	0	css-starved-2	46cdbdef
ofero.id	-	-	0	0	0	0	0	bot-wall-429	46cdbdef
probidas.lt	0.251039	0.394799	0	0	11	0	423		46cdbdef
redinfor.com.pe	0.900000	0.555556	3	3	0	0	36		46cdbdef
mydogcot.com	-	-	0	0	0	0	0	bot-wall-429	46cdbdef
profissionaliza.cademi.com.br	0.147059	0.200000	3	0	0	0	5	tree-divergence-34	46cdbdef
www.timeline.com	0.870462	0.344076	69	7	16	0	1055		46cdbdef
admin.zoomph.com	1.000000	0.558824	0	0	1	0	34		46cdbdef
e8c76.com	-	-	0	0	0	0	0	bot-wall-200	46cdbdef
pordentrodetudo.com.br	0.892626	0.130435	35	0	2	4	690		46cdbdef
bhramarah.in	-	-	0	0	0	0	0	bot-wall-429	46cdbdef
dedebet252.com	-	-	0	0	0	0	0	bot-wall-403	46cdbdef
aksesjambi.com	-	-	0	0	0	0	0	probe-blocked	46cdbdef
hipmiluwuutara.org	0.340599	0.124000	12	3	6	0	250		46cdbdef
seduniaselat.com	0.683495	0.426136	0	3	2	0	352		46cdbdef
www.wdimax.com	1.000000	0.588859	0	1	85	0	377		46cdbdef
gismart.com	0.982517	0.637011	12	15	3	0	281		46cdbdef
virtual.lapampa.edu.ar	-	-	0	0	0	0	0	unreachable	46cdbdef
experiencia.pichincha.com	0.375000	0.333333	0	0	0	0	3	shell-only-8	46cdbdef
bhfudbal.ba	0.978602	0.148688	21	2	10	36	686		46cdbdef
www.hdnails.it	0.967515	0.421960	3	1	9	0	1102		46cdbdef
mayatoys.in	0.007101	0.181818	0	0	5	0	11		46cdbdef
redemoura.gupy.io	0.006515	0.000000	0	0	0	0	2	render-failed	46cdbdef
neutypechic.com	1.000000	0.506003	4	0	5	0	583		46cdbdef
nysainfo.pl	0.339043	0.612184	0	21	5	0	673		46cdbdef
meuconsultordigital.com.br	0.973196	0.207627	0	9	0	0	472		46cdbdef
venus.zeronline.cloud	-	-	0	0	0	0	0	probe-blocked	46cdbdef
service.smt.docomo.ne.jp	-	-	0	0	0	0	0	unreachable	46cdbdef
www.mangago.me	-	-	0	0	0	0	0	bot-wall-403	46cdbdef
www.agoda.com	0.077970	0.555556	0	0	0	0	63		46cdbdef
bill.pitc.com.pk	-	-	0	0	0	0	0	unreachable	46cdbdef
bbs.ruliweb.com	-	-	0	0	0	0	0	timeout-150s	46cdbdef
mangaraw.ac	0.754538	0.507446	10	1	21	10	873		46cdbdef
missav.live	-	-	0	0	0	0	0	bot-wall-403	46cdbdef
vk.com	0.800000	0.250000	0	0	0	0	4	shell-only-5	46cdbdef
tukrd.com	1.000000	1.000000	0	0	0	0	38		46cdbdef
www.amazon.com.mx	-	-	0	0	0	0	0	empty-202	46cdbdef
www.paypal.com	0.892977	0.421348	0	15	21	0	534		46cdbdef
toyhou.se	-	-	0	0	0	0	0	bot-wall-403	46cdbdef
linkmake.in	1.000000	0.459459	0	0	0	0	74		46cdbdef
janitorai.com	-	-	0	0	0	0	0	bot-wall-403	46cdbdef
stdn.iau.ir	-	-	0	0	0	0	0	bot-wall-403	46cdbdef
desiviral.net	1.000000	0.770507	0	5	0	0	1085		46cdbdef
www.livescore.cz	1.000000	0.472913	0	1	0	0	1569		46cdbdef
m.youm7.com	-	-	0	0	0	0	0	css-starved-1	46cdbdef
www.5movierulz.discount	0.995444	0.409611	1	0	10	0	437		46cdbdef
ww1.goojara.to	-	-	0	0	0	0	0	probe-blocked	46cdbdef
merchant.upi9.pro	1.000000	0.500000	0	0	0	0	2	shell-only-2	46cdbdef
chat.google.com	1.000000	0.728814	0	0	0	0	59		46cdbdef
haraj.com.sa	-	-	0	0	0	0	0	probe-blocked	46cdbdef
id.vk.ru	1.000000	0.107843	10	4	8	180	1224		46cdbdef
videa.hu	0.617347	0.475207	0	1	35	20	484		46cdbdef
coinmarketcap.com	0.181002	0.368146	8	0	16	0	383		46cdbdef
nitter.net	-	-	0	0	0	0	0	empty-200	46cdbdef
rpsc.rajasthan.gov.in	0.996613	0.539507	0	0	1	0	1177		46cdbdef
funinjeet.com	-	-	0	0	0	0	0	empty-202	46cdbdef
pasarbokep.com	0.905138	0.427948	0	0	3	0	229		46cdbdef
developers.google.com	0.853712	0.306905	0	19	6	0	391		46cdbdef
oilprice.com	0.607034	0.360202	0	4	4	0	397		46cdbdef
www.woolworths.com.au	-	-	0	0	0	0	0	bot-wall-403	46cdbdef
www.netvasco.com.br	0.990066	0.618729	3	0	4	0	598		46cdbdef
www.cbse.gov.in	1.000000	0.000000	0	0	0	0	57		46cdbdef
ubys.bingol.edu.tr	0.964072	0.639752	0	0	13	0	161		46cdbdef
hope.cap-systems.org	1.000000	0.000000	0	0	0	0	17		46cdbdef
www.freesupertips.com	0.504212	0.766110	1	1	6	0	419		46cdbdef
www.broshurko.bg	-	-	0	0	0	0	0	bot-wall-200	46cdbdef
linxonline.co.pierce.wa.us	-	-	0	0	0	0	0	probe-blocked	46cdbdef
lms.sltc.ac.lk	1.000000	0.395161	0	3	1	0	124		46cdbdef
xhdesign.today	-	-	0	0	0	0	0	probe-blocked	46cdbdef
www.crazyshop.pl	0.895901	0.559913	1	6	503	1	1377		46cdbdef
www.friulioggi.it	-	-	0	0	0	0	0	timeout-150s	46cdbdef
mirai-compass.net	-	-	0	0	0	0	0	http-404	46cdbdef
www.trivago.be	0.953571	0.122097	27	4	13	0	1335		46cdbdef
www.trivago.fr	0.953638	0.117427	27	4	13	0	1337		46cdbdef
www.trivago.pl	0.953571	0.115356	27	4	14	0	1335		46cdbdef
secure5.entertimeonline.com	1.000000	0.794872	0	0	0	0	39		46cdbdef
www.aftenbladet.no	0.953730	0.298020	518	1	27	4	1010		46cdbdef
www.jatekshop.eu	0.963087	0.179443	0	31	38	0	1148		46cdbdef
cyoinatu-onna.com	0.967742	0.547518	0	2	0	0	1410		46cdbdef
swiftspinus.com	-	-	0	0	0	0	0	probe-blocked	46cdbdef
a1.ro	0.023358	0.500000	0	0	1	0	16		46cdbdef
www.razaoautomovel.com	0.943208	0.226200	59	71	3	6	1229		46cdbdef
acesso.pagbank.com.br	-	-	0	0	0	0	0	bot-wall-403	46cdbdef
promo.golesliga1max.pe	1.000000	0.587302	0	0	0	0	63		46cdbdef
www.radec.com.mx	-	-	0	0	0	0	0	bot-wall-403	46cdbdef
possssno.sbs	1.000000	0.429565	0	0	600	0	575		46cdbdef
www.heart.org	0.843810	0.031603	0	0	1	0	443		46cdbdef
booking.directferries.com	1.000000	1.000000	0	0	0	0	3	shell-only-3	46cdbdef
www.lyreco.com	0.907193	0.588235	0	1	2	0	391		46cdbdef
secure.paymentech.com	-	-	0	0	0	0	0	probe-blocked	46cdbdef
sip777man.site	0.313978	0.582563	1	1	12	0	757		46cdbdef
