area	pass	total	pct	crashes	dupes
dom	2739	6481	42.3	0	0
html/dom	22562	59818	37.7	0	0
css/selectors	784	2327	33.7	0	0
css/css-flexbox	223	3594	6.2	0	0
css/css-grid	150	2841	5.3	0	0
css/css-sizing	191	1586	12.0	0	0
css/css-fonts	924	2854	32.4	0	0
css/css-text	584	900	64.9	0	0
css/css-overflow	131	471	27.8	0	0
css/css-transforms	45	278	16.2	0	0
css/css-ui	20	487	4.1	0	0
css/css-backgrounds	3	86	3.5	0	0
cssom	0	0	0.0	0	0
domparsing	182	1273	14.3	0	0
url	1	7	14.3	0	0
encoding	360559	1127434	32.0	0	0
TOTAL	389098	1210437	32.15	0	0
